no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,class_no,class_nm,loan_count,sales_point,price,page_count,review_count,average_rating,최다연령대_여성,최다연령대_남성,성비_여성,20~30대_남성,20~30대_여성,분류,대출수준,단행/시리즈,중분류,소분류,data,키워드
2418,2415,천개산 패밀리,박현숙 글 ;길개 그림,특서주니어,2023,9791167030849,A73810,813.7,문학 > 한국문학 > 소설,452.6666666666667,1558,12600,184.0,25.0,9.9,40.0,40.0,0.8,1.5,15.8,동화/명작/고전,하위권,시리즈, 한국문학 , 소설,"천개산 패밀리,9791167030849","[""패밀리"", ""추억"", ""사랑"", ""성장"", ""가족""]"
2419,2415,당신을 알기 전에는 시 없이도 잘 지냈습니다,지은이: 류시화,수오서재,2024,9791193238493,A03810,811.62,문학 > 한국문학 > 시,567.0,17497,14400,192.0,4.0,8.0,40.0,50.0,0.7,9.8,21.7,시,하위권,단행본, 한국문학 , 시,"당신을 알기 전에는 시 없이도 잘 지냈습니다,9791193238493","[""사랑"", ""그리움"", ""추억"", ""이별"", ""성장""]"
2420,2420,바다는 잘 있습니다,지은이: 이병률,문학과지성사,2017,9788932030395,A03810,811.7,문학 > 한국문학 > 시,566.0,12585,10800,144.0,23.0,8.9,20.0,20.0,0.8,12.7,52.8,시,하위권,단행본, 한국문학 , 시,"바다는 잘 있습니다,9788932030395","[""힐링"", ""성장"", ""용기"", ""사랑"", ""희망""]"
2421,2420,파우스트,요한 볼프강 폰 괴테 지음;정서웅 옮김,민음사,1999,9788937460210,A04850,852.0,문학 > 독일문학 > 희곡,451.5,17156,9900,312.0,45.0,8.6,40.0,20.0,0.6,19.8,29.8,세계의 문학,하위권,시리즈, 독일문학 , 희곡,"파우스트,9788937460210","[""비극"", ""철학"", ""인간"", ""욕망"", ""구원""]"
2422,2420,늑대가 들려주는 아기돼지 삼형제 이야기,존 셰스카 글 ;황의방 옮김,보림출판사,2008,9788943302245,A77840,843.0,문학 > 영미문학 > 소설,566.0,18337,12600,32.0,67.0,9.1,30.0,30.0,0.8,7.7,59.2,그림책,하위권,단행본, 영미문학 , 소설,"늑대가 들려주는 아기돼지 삼형제 이야기,9788943302245","[""동화"", ""늑대"", ""돼지"", ""집"", ""이야기""]"
2423,2420,오리네 찜질방,글·그림: 민승지,위즈덤하우스,2020,9788962472370,A77800,813.7,문학 > 한국문학 > 소설,566.0,706,11700,48.0,7.0,10.0,40.0,40.0,0.9,2.4,34.5,그림책,하위권,단행본, 한국문학 , 소설,"오리네 찜질방,9788962472370","[""찜질방"", ""가족"", ""성장"", ""우정"", ""치유""]"
2424,2420,곤충 호텔의 비밀,클레르 슈바르츠 글·그림 ;김희진 옮김,토토북,2023,9788964964910,A77860,863.0,문학 > 프랑스문학 > 소설,566.0,361,15300,46.0,16.0,10.0,30.0,40.0,0.9,0.9,43.8,그림책,하위권,단행본, 프랑스문학 , 소설,"곤충 호텔의 비밀,9788964964910","[""곤충"", ""자연"", ""성장"", ""탐험"", ""우정""]"
2425,2425,도토리 마을의 빵집,글·그림: 나카야 미와 ;옮김: 김난주,웅진씽크빅,2012,9788901149332,A74800,833.6,문학 > 일본문학 > 소설,1129.0,2184,10800,40.0,7.0,9.6,30.0,40.0,0.8,6.199999999999999,52.8,그림책,하위권,단행본, 일본문학 , 소설,"도토리 마을의 빵집,9788901149332","[""판타지"", ""빵집"", ""마을"", ""우정"", ""따뜻함""]"
2426,2425,쉿! 안개초등학교,지은이: 보린 ;그린이: 센개,창비,2021,9788936448059,A74810,813.7,문학 > 한국문학 > 소설,483.0,1022,10800,120.0,39.0,9.8,40.0,40.0,0.9,1.8,22.7,동화/명작/고전,하위권,시리즈, 한국문학 , 소설,"쉿! 안개초등학교,9788936448059","[""성장"", ""학교"", ""친구"", ""변화"", ""용기""]"
2427,2425,붉은 손가락,히가시노 게이고 지음;양윤옥 옮김,현대문학,2007,9788972753940,A03830,833.6,문학 > 일본문학 > 소설,565.0,4190,12600,291.0,108.0,8.4,20.0,20.0,0.7,19.3,41.8,추리/미스터리소설,하위권,단행본, 일본문학 , 소설,"붉은 손가락,9788972753940","[""스릴러"", ""미스터리"", ""복수"", ""추적"", ""진실""]"
2429,2425,애벌레빵,글·그림: 쓰보이 주리 ;옮김: 이은정,루크하우스,2019,9791155683590,A74830,833.6,문학 > 일본문학 > 소설,565.0,178,11700,36.0,24.0,10.0,40.0,40.0,0.9,2.9,36.8,그림책,하위권,단행본, 일본문학 , 소설,"애벌레빵,9791155683590","[""성장"", ""우정"", ""모험"", ""변신""]"
2430,2425,나는 강물처럼 말해요,조던 스콧 글 ;김지은 옮김,책읽는곰,2021,9791158362157,A77840,843.0,문학 > 영미문학 > 소설,921.0,15888,11700,52.0,30.0,9.7,40.0,40.0,0.9,4.1000000000000005,33.6,그림책,하위권,단행본, 영미문학 , 소설,"나는 강물처럼 말해요,9791158362157","[""성장"", ""관계"", ""공감"", ""치유""]"
2431,2425,똥 도둑을 잡아라! :김지영 그림책,글·그림: 김지영,한림출판사,2023,9791192697475,A77810,813.7,문학 > 한국문학 > 소설,565.0,260,14400,44.0,10.0,10.0,40.0,30.0,0.9,2.7,37.8,그림책,하위권,단행본, 한국문학 , 소설,"똥 도둑을 잡아라! :김지영 그림책,9791192697475","[""코믹"", ""유머"", ""모험"", ""정의""]"
2432,2425,천국에서 온 택배,히이라기 사나카 지음 ;김지연 옮김,오팬하우스,2024,9791194293095,A03830,833.6,문학 > 일본문학 > 소설,565.0,1573,13950,276.0,19.0,9.7,40.0,20.0,0.7,16.5,15.5,일본소설,하위권,단행본, 일본문학 , 소설,"천국에서 온 택배,9791194293095","[""환상"", ""성장"", ""모험"", ""사랑"", ""우정""]"
2434,2433,살고 싶다는 농담 :허지웅 에세이,지은이: 허지웅,웅진씽크빅,2020,9788901244600,A03810,818.0,문학 > 한국문학 > 르포르타주 및 기타,564.0,10524,14400,276.0,140.0,9.3,30.0,30.0,0.8,13.6,47.8,명사에세이,하위권,단행본, 한국문학 , 르포르타주 및 기타,"살고 싶다는 농담 :허지웅 에세이,9788901244600","[""에세이"", ""성찰"", ""사랑"", ""인간"", ""일상""]"
2435,2433,크눌프,헤르만 헤세 [지음];이노은 옮김,민음사,2006,9788937461118,A04800,853.0,문학 > 독일문학 > 소설,564.0,6484,8100,148.0,37.0,8.7,20.0,40.0,0.7,13.4,40.2,독일소설,하위권,시리즈, 독일문학 , 소설,"크눌프,9788937461118","[""성장"", ""동화"", ""여행"", ""모험""]"
2437,2433,이야기 귀신이 와르릉와르릉,천효정 글 ;최미란 그림,문학동네,2023,9788954696982,A74810,813.7,문학 > 한국문학 > 소설,672.5,2566,9900,136.0,34.0,9.9,40.0,40.0,0.9,0.7,14.4,동화/명작/고전,하위권,시리즈, 한국문학 , 소설,"이야기 귀신이 와르릉와르릉,9788954696982","[""괴담"", ""공포"", ""귀신"", ""충격""]"
2438,2433,무지무지 작지만 아주아주 특별한 분홍 유니콘,숀 해리스 글·그림 ;이숙희 옮김,오픈키드,2024,9791156761495,A77840,843.0,문학 > 영미문학 > 소설,564.0,784,16650,48.0,7.0,9.4,40.0,40.0,0.9,3.4,27.5,그림책,하위권,단행본, 영미문학 , 소설,"무지무지 작지만 아주아주 특별한 분홍 유니콘,9791156761495","[""판타지"", ""유니콘"", ""분홍"", ""특별함"", ""작음""]"
2439,2433,황금종이 :조정래 장편소설,저자: 조정래,해냄출판사,2023,9791167140722,A04810,813.62,문학 > 한국문학 > 소설,494.0,6836,16650,328.0,27.0,9.4,50.0,50.0,0.5,7.8,12.5,한국소설,하위권,시리즈, 한국문학 , 소설,"황금종이 :조정래 장편소설,9791167140722","[""역사"", ""전쟁"", ""시대"", ""가족""]"
2440,2433,달콤한 백곰,시바타 게이코 지음 ;김언수 옮김,길벗스쿨,2018,9791188991051,A77830,833.6,문학 > 일본문학 > 소설,564.0,308,13500,32.0,5.0,10.0,40.0,40.0,0.9,3.8,38.0,그림책,하위권,단행본, 일본문학 , 소설,"달콤한 백곰,9791188991051","[""동화"", ""곰"", ""우정"", ""사랑""]"
2442,2442,강아지 복실이,한미호 글 ;김유대 그림,국민서관,2012,9788911030224,A77810,813.7,문학 > 한국문학 > 소설,924.0,2712,10800,36.0,3.0,9.0,40.0,40.0,0.9,2.8000000000000003,34.4,그림책,하위권,단행본, 한국문학 , 소설,"강아지 복실이,9788911030224","[""반려견"", ""우정"", ""성장"", ""가족""]"
2444,2442,출발! 펭귄 유람선,노하나 하루카 글·그림 ;송지현 옮김,주니어김영사,2024,9788934928409,A77830,833.6,문학 > 일본문학 > 소설,563.0,355,13050,40.0,5.0,10.0,30.0,40.0,0.8,6.4,59.6,그림책,하위권,단행본, 일본문학 , 소설,"출발! 펭귄 유람선,9788934928409","[""모험"", ""우정"", ""성장"", ""빙하"", ""도전""]"
2445,2442,변신이야기,오비디우스 지음;이윤기 옮김,민음사,1998,9788937460012,A04880,892.2,문학 > 기타 제문학 > 인도-유럽계문학,563.0,7668,11700,432.0,35.0,8.6,40.0,40.0,0.6,17.1,29.9,신화/종교학,하위권,시리즈, 기타 제문학 , 인도-유럽계문학,"변신이야기,9788937460012","[""판타지"", ""변신"", ""괴물"", ""정체성"", ""인간""]"
2447,2442,오리엔트 특급 살인 :애거서 크리스티 장편 소설,지은이: 애거서 크리스티 ;신영희 옮김,황금가지,2013,9788960177765,A04840,843.0,문학 > 영미문학 > 소설,563.0,8707,10800,341.0,22.0,9.2,40.0,20.0,0.7,16.5,35.9,추리/미스터리소설,하위권,단행본, 영미문학 , 소설,"오리엔트 특급 살인 :애거서 크리스티 장편 소설,9788960177765","[""추리"", ""미스터리"", ""살인"", ""폐쇄"", ""결말""]"
2448,2442,해리포터와 마법사의 돌,조앤 K. 롤링 지음 ;김혜원 옮김,문학수첩,1999,9788983920683,A04840,843.5,문학 > 영미문학 > 소설,536.0,20442,7200,232.0,330.0,9.1,30.0,30.0,0.7,16.9,47.6,판타지/환상문학,하위권,시리즈, 영미문학 , 소설,"해리포터와 마법사의 돌,9788983920683","[""판타지"", ""마법"", ""학교"", ""모험"", ""우정""]"
2450,2442,10초는 영원히 :계속 사랑할 거니까 계속 바라볼 거니까,지은이: 황모과,위즈덤하우스,2023,9791168127166,A04810,813.7,문학 > 한국문학 > 소설,563.0,1665,11700,92.0,7.0,9.6,20.0,40.0,0.9,2.3,67.3,한국소설,하위권,단행본, 한국문학 , 소설,"10초는 영원히 :계속 사랑할 거니까 계속 바라볼 거니까,9791168127166","[""로맨스"", ""사랑"", ""영원"", ""바라봄""]"
2451,2442,마음을 담은 병,데버라 마르세로 지음 ;김세실 옮김,나는별,2023,9791188574506,A77840,843.0,문학 > 영미문학 > 소설,563.0,2390,14400,40.0,3.0,10.0,40.0,40.0,0.9,1.7000000000000002,17.9,그림책,하위권,단행본, 영미문학 , 소설,"마음을 담은 병,9791188574506","[""힐링"", ""성장"", ""관계"", ""치유"", ""사랑""]"
2452,2452,아르테미스 :앤디 위어 장편소설,지은이: 앤디 위어 ;옮긴이: 남명성,알에이치코리아,2017,9788925562599,A03840,843.6,문학 > 영미문학 > 소설,562.0,5730,13500,448.0,128.0,8.1,30.0,40.0,0.7,17.700000000000003,40.8,과학소설(SF),하위권,단행본, 영미문학 , 소설,"아르테미스 :앤디 위어 장편소설,9788925562599","[""SF"", ""우주"", ""과학"", ""생존""]"
2454,2452,해리포터 :혼혈왕자,J.K. 롤링 지음 ;강동혁 옮김,문학수첩,2020,9788983927958,A04840,843.5,문학 > 영미문학 > 소설,499.5,2446,8550,280.0,2.0,10.0,40.0,40.0,0.8,4.7,14.3,판타지/환상문학,하위권,시리즈, 영미문학 , 소설,"해리포터 :혼혈왕자,9788983927958","[""판타지"", ""마법"", ""성장"", ""모험"", ""우정""]"
2457,2452,나뭇잎을 찾으면,에이미 시쿠로 글·그림 ;서남희 옮김,피카주니어,2023,9791192869056,A77840,843.0,문학 > 영미문학 > 소설,562.0,8074,13500,40.0,7.0,10.0,40.0,40.0,0.9,3.4,31.4,그림책,하위권,단행본, 영미문학 , 소설,"나뭇잎을 찾으면,9791192869056","[""자연"", ""성장"", ""모험""]"
2458,2452,또드랑 할매와 호랑이,글: 오호선 ;그림: 이명애,여유당출판사,2024,9791194100003,A77810,813.7,문학 > 한국문학 > 소설,562.0,1034,14400,44.0,28.0,10.0,50.0,50.0,0.9,1.9,5.7,그림책,하위권,단행본, 한국문학 , 소설,"또드랑 할매와 호랑이,9791194100003","[""판타지"", ""모험"", ""우정"", ""성장"", ""할머니""]"
2460,2459,유령 고양이 후쿠코,히로시마 레이코 글 ;고향옥 옮김,김영사,2021,9788934990079,A74830,833.6,문학 > 일본문학 > 소설,459.5,1036,10800,100.0,12.0,9.7,40.0,40.0,0.9,1.3,17.2,동화/명작/고전,하위권,시리즈, 일본문학 , 소설,"유령 고양이 후쿠코,9788934990079","[""판타지"", ""고양이"", ""모험"", ""성장""]"
2461,2459,큰일 났다,김기정 글 ;전민걸 그림,다림,2020,9788961772372,A77810,813.7,문학 > 한국문학 > 소설,561.0,2609,10800,40.0,10.0,9.8,40.0,40.0,0.9,2.9000000000000004,34.4,초등1~2학년,하위권,단행본, 한국문학 , 소설,"큰일 났다,9788961772372","[""성장"", ""사랑"", ""가족"", ""상실""]"
2463,2459,밤새들의 도시 :김주혜 장편소설,지은이: 김주혜 ;옮긴이: 김보람,다산북스,2025,9791130666808,A03840,843.6,문학 > 영미문학 > 소설,561.0,11670,17820,528.0,76.0,9.9,40.0,50.0,0.7,3.7,18.0,영미소설,하위권,단행본, 영미문학 , 소설,"밤새들의 도시 :김주혜 장편소설,9791130666808","[""성장"", ""도시"", ""밤"", ""꿈"", ""관계""]"
2464,2459,사소한 것들이 신경 쓰입니다,저자: 마스다 미리 ;옮긴이: 권남희,소미미디어,2023,9791138435925,A03830,834.0,문학 > 일본문학 > 수필,561.0,1003,13320,168.0,34.0,9.4,40.0,40.0,0.9,3.4,36.1,사진/그림 에세이,하위권,단행본, 일본문학 , 수필,"사소한 것들이 신경 쓰입니다,9791138435925","[""일상"", ""심리"", ""감정"", ""관계"", ""고민""]"
2467,2459,호의에 대하여 :문형배 에세이,지은이: 문형배,김영사,2025,9791173323027,A03810,818.0,문학 > 한국문학 > 르포르타주 및 기타,561.0,122696,16920,408.0,59.0,8.4,40.0,50.0,0.7,5.9,13.6,명사에세이,하위권,단행본, 한국문학 , 르포르타주 및 기타,"호의에 대하여 :문형배 에세이,9791173323027","[""에세이"", ""관계"", ""인간"", ""마음""]"
2469,2468,린 할머니의 복숭아나무,탕무니우 지음 ;조윤진 옮김,보림,2019,9788943311971,A77820,823.7,문학 > 중국문학 > 소설,560.0,1258,14400,40.0,26.0,9.9,40.0,40.0,0.9,2.3,35.2,그림책,하위권,단행본, 중국문학 , 소설,"린 할머니의 복숭아나무,9788943311971","[""성장"", ""자연"", ""가족"", ""추억"", ""순수""]"
2472,2468,먹는 이야기,글: 고대영 ;그림: 김영진,길벗어린이,2011,9788955821697,A77810,813.7,문학 > 한국문학 > 소설,1092.0,3628,12600,40.0,15.0,9.8,30.0,40.0,0.8,4.7,51.1,그림책,하위권,시리즈, 한국문학 , 소설,"먹는 이야기,9788955821697","[""음식"", ""사랑"", ""인생"", ""추억""]"
2473,2468,가방 안에 든 게 뭐야?,김상근 글·그림,한림출판사,2015,9788970948225,A77810,813.7,문학 > 한국문학 > 소설,560.0,1547,13500,36.0,7.0,9.6,30.0,40.0,0.9,5.800000000000001,48.6,그림책,하위권,단행본, 한국문학 , 소설,"가방 안에 든 게 뭐야?,9788970948225","[""일상"", ""성장"", ""진로"", ""관계"", ""청소년""]"
2474,2468,어두운 물 :전건우 장편소설,지은이: 전건우,넥서스,2024,9791166836008,A03810,813.7,문학 > 한국문학 > 소설,560.0,1416,13500,288.0,23.0,9.7,40.0,40.0,0.7,8.1,29.8,호러.공포소설,하위권,단행본, 한국문학 , 소설,"어두운 물 :전건우 장편소설,9791166836008","[""공포"", ""괴담"", ""저주"", ""분신"", ""의식""]"
2477,2476,호호호 :윤가은 산문,지은이: 윤가은,마음산책,2022,9788960907249,A03810,818.0,문학 > 한국문학 > 르포르타주 및 기타,559.0,4735,12150,204.0,23.0,8.8,30.0,40.0,0.9,5.4,45.0,한국에세이,하위권,단행본, 한국문학 , 르포르타주 및 기타,"호호호 :윤가은 산문,9788960907249","[""에세이"", ""일상"", ""공감"", ""위로"", ""성장""]"
2478,2476,사랑하고 선량하게 잦아드네 :유수연 시집,지은이: 유수연,문학동네,2024,9791141601454,A03810,811.7,문학 > 한국문학 > 시,559.0,12258,10800,124.0,3.0,8.9,20.0,30.0,0.8,10.7,59.4,시,하위권,단행본, 한국문학 , 시,"사랑하고 선량하게 잦아드네 :유수연 시집,9791141601454","[""사랑"", ""선량"", ""성장"", ""진솔"", ""고백""]"
2480,2476,(슈팅스타 캐치! 티니핑) 딩동! 택배 왔어요,원작·그림: SAMG ;엮음: 아이휴먼 편집부,휴먼큐브,2025,9791165384333,A77810,813.7,문학 > 한국문학 > 소설,559.0,1167,13500,60.0,0.0,0.0,40.0,40.0,0.7,8.3,26.9,그림책,하위권,시리즈, 한국문학 , 소설,"(슈팅스타 캐치! 티니핑) 딩동! 택배 왔어요,9791165384333","[""환상"", ""모험"", ""우정""]"
2481,2476,호랑이 생일날이렷다 :강혜숙 그림책,지은이: 강혜숙,우리학교,2022,9791167550347,A77800,813.7,문학 > 한국문학 > 소설,559.0,1585,15120,40.0,13.0,10.0,40.0,40.0,0.9,0.5,21.3,그림책,하위권,단행본, 한국문학 , 소설,"호랑이 생일날이렷다 :강혜숙 그림책,9791167550347","[""그림"", ""동물"", ""우정"", ""생일"", ""기쁨""]"
2482,2476,우리 아빠 ㄱㄴㄷ,이갑규 쓰고 그림,파란자전거,2023,9791192308326,A77810,813.7,문학 > 한국문학 > 소설,559.0,487,12600,46.0,10.0,9.8,40.0,40.0,0.9,1.1,17.9,그림책,하위권,단행본, 한국문학 , 소설,"우리 아빠 ㄱㄴㄷ,9791192308326","[""가족"", ""성장"", ""사랑"", ""추억"", ""기억""]"
2483,2476,어른의 국어력 :말과 글에 품격을 더하는 지적 어른의 필수 교양,김범준 지음,콘텐츠그룹 포레스트,2023,9791192625669,A03800,802.0,"문학 > 문학 > 문장작법, 수사학",559.0,2243,15120,204.0,40.0,9.6,40.0,40.0,0.8,7.1000000000000005,25.1,협상/설득/화술,하위권,단행본, 문학 ," 문장작법, 수사학","어른의 국어력 :말과 글에 품격을 더하는 지적 어른의 필수 교양,9791192625669","[""교양"", ""품격"", ""어휘"", ""논리"", ""글쓰기""]"
2484,2476,산타 할머니,진수경 글·그림,봄개울,2019,9791196652777,A77810,813.7,문학 > 한국문학 > 소설,559.0,1912,10800,40.0,5.0,10.0,40.0,40.0,0.9,2.6,38.0,초등1~2학년,하위권,단행본, 한국문학 , 소설,"산타 할머니,9791196652777","[""판타지"", ""크리스마스"", ""선물"", ""따뜻함"", ""동화""]"
2485,2485,나 진짜 화났어!,폴리 던바 글·그림 ;김효영 옮김,비룡소,2019,9788949105147,A74800,843.0,문학 > 영미문학 > 소설,943.0,1474,12600,40.0,2.0,10.0,30.0,30.0,0.9,5.2,56.2,그림책,하위권,단행본, 영미문학 , 소설,"나 진짜 화났어!,9788949105147","[""힐링"", ""공감"", ""성장"", ""감정""]"
2487,2485,콧구멍 경호대,김지연 글 ;간장 그림,보랏빛소,2022,9791190867740,A77800,813.7,문학 > 한국문학 > 소설,558.0,103,12600,44.0,7.0,10.0,40.0,40.0,0.9,0.0,27.5,그림책,하위권,단행본, 한국문학 , 소설,"콧구멍 경호대,9791190867740","[""코믹"", ""유쾌"", ""우정"", ""성장"", ""모험""]"
2488,2485,까멜리아 싸롱 :고수리 장편소설,지은이: 고수리 ;일러스트: 하이쑤,클레이하우스,2024,9791193235263,A03810,813.7,문학 > 한국문학 > 소설,558.0,2034,16910,368.0,25.0,9.8,40.0,50.0,0.9,3.2,30.8,판타지/환상문학,하위권,단행본, 한국문학 , 소설,"까멜리아 싸롱 :고수리 장편소설,9791193235263","[""로맨스"", ""현대"", ""성장"", ""사랑""]"
2489,2485,산 루이스 레이의 다리 :손턴 와일더 장편소설,지은이: 손턴 와일더 ;해제: 신형철,클레이하우스,2025,9791193235515,A03840,843.5,문학 > 영미문학 > 소설,558.0,10060,15300,228.0,26.0,9.5,40.0,50.0,0.7,5.699999999999999,12.4,영미소설,하위권,단행본, 영미문학 , 소설,"산 루이스 레이의 다리 :손턴 와일더 장편소설,9791193235515","[""서부"", ""사랑"", ""전쟁"", ""운명""]"
2491,2490,똥 호박,이승호 글 ;김고은 그림,책읽는곰,2014,9788993242973,A77810,813.7,문학 > 한국문학 > 소설,1067.0,603,9900,40.0,5.0,10.0,30.0,40.0,0.9,4.6000000000000005,42.9,그림책,하위권,시리즈, 한국문학 , 소설,"똥 호박,9788993242973","[""가족"", ""성장"", ""향수"", ""추억""]"
2492,2490,아침의 피아노 :철학자 김진영의 애도 일기,지은이: 김진영,한겨레출판,2018,9791160401974,A03810,816.7,"문학 > 한국문학 > 일기, 서간, 기행",557.0,9458,11700,284.0,58.0,8.8,30.0,40.0,0.8,7.6,42.5,한국에세이,하위권,단행본, 한국문학 ," 일기, 서간, 기행","아침의 피아노 :철학자 김진영의 애도 일기,9791160401974","[""철학"", ""애도"", ""일기"", ""기억"", ""성찰""]"
2493,2490,카피캣 식당 :범유진 장편소설,지은이: 범유진,넥서스,2023,9791166834349,A03810,813.7,문학 > 한국문학 > 소설,557.0,461,12150,264.0,9.0,9.6,20.0,40.0,0.9,3.0,55.900000000000006,판타지/환상문학,하위권,단행본, 한국문학 , 소설,"카피캣 식당 :범유진 장편소설,9791166834349","[""코미디"", ""음식"", ""성장"", ""인생""]"
2494,2490,뿡뿡뿡 뿡-산,안도 글·그림,우리학교,2024,9791167552471,A77810,813.7,문학 > 한국문학 > 소설,557.0,104,15120,48.0,14.0,10.0,40.0,10.0,1.0,0.0,47.7,그림책,하위권,단행본, 한국문학 , 소설,"뿡뿡뿡 뿡-산,9791167552471","[""로맨스"", ""순애"", ""현대"", ""연애""]"
2495,2490,(뜨겁게 도와주는) 북극곰 센터,황지영 글 ;박소연 그림,인플루엔셜,2025,9791168342811,A74810,813.7,문학 > 한국문학 > 소설,557.0,1747,13050,136.0,48.0,10.0,40.0,40.0,0.9,1.2,12.4,동화/명작/고전,하위권,단행본, 한국문학 , 소설,"(뜨겁게 도와주는) 북극곰 센터,9791168342811","[""성장"", ""모험"", ""우정"", ""사랑""]"
2497,2497,죽음 :베르나르 베르베르 장편소설,지은이: 베르나르 베르베르 ;옮긴이: 전미연,열린책들,2019,9788932919676,A04860,863.0,문학 > 프랑스문학 > 소설,474.0,11509,14220,328.0,20.0,7.8,40.0,30.0,0.7,17.2,32.8,과학소설(SF),하위권,시리즈, 프랑스문학 , 소설,"죽음 :베르나르 베르베르 장편소설,9788932919676","[""철학"", ""윤리"", ""영혼"", ""환생"", ""종교""]"
2499,2497,스파클 :최현진 장편소설,지은이: 최현진,창비,2025,9788936457341,A43810,813.7,문학 > 한국문학 > 소설,555.0,17736,13500,204.0,105.0,9.7,40.0,40.0,0.8,3.0,16.8,청소년 문학,하위권,단행본, 한국문학 , 소설,"스파클 :최현진 장편소설,9788936457341","[""성장"", ""성찰"", ""우정"", ""성장통"", ""청춘""]"
2502,2497,나에겐 비밀이 있어,글·그림: 이동연,올리,2022,9791165343989,A77810,813.7,문학 > 한국문학 > 소설,555.0,2355,12600,64.0,26.0,9.8,40.0,40.0,0.9,2.2,21.2,그림책,하위권,단행본, 한국문학 , 소설,"나에겐 비밀이 있어,9791165343989","[""성장"", ""비밀"", ""관계"", ""청소년""]"
2504,2497,꿈을 굽는 빵집,김희선 글·그림,계수나무,2021,9791187914600,A77810,813.7,문학 > 한국문학 > 소설,555.0,227,11700,44.0,7.0,10.0,40.0,30.0,0.8,11.5,29.6,그림책,하위권,단행본, 한국문학 , 소설,"꿈을 굽는 빵집,9791187914600","[""빵"", ""꿈"", ""위로"", ""힐링"", ""성장""]"
2505,2497,검은 불꽃과 빨간 폭스바겐 :조승리 수필집,지은이: 조승리,세미콜론,2025,9791194087663,A03810,818.0,문학 > 한국문학 > 르포르타주 및 기타,555.0,3105,15300,288.0,30.0,9.7,40.0,40.0,0.8,3.5,22.3,한국에세이,하위권,단행본, 한국문학 , 르포르타주 및 기타,"검은 불꽃과 빨간 폭스바겐 :조승리 수필집,9791194087663","[""수필"", ""불꽃"", ""폭스바겐"", ""감성"", ""일상""]"
2506,2506,버터 :유즈키 아사코 소설,지은이: 유즈키 아사코 ;옮긴이: 권남희,이봄,2021,9791190582483,A03830,833.6,문학 > 일본문학 > 소설,554.0,2476,16020,600.0,121.0,9.3,30.0,40.0,0.8,6.2,45.7,추리/미스터리소설,하위권,단행본, 일본문학 , 소설,"버터 :유즈키 아사코 소설,9791190582483","[""성장"", ""우정"", ""추억"", ""일상""]"
2507,2506,어떻게 지내요 :시그리드 누네즈 장편소설,지은이: 시그리드 누네즈 ;옮긴이: 정소영,엘리,2021,9791191247114,A03840,843.5,문학 > 영미문학 > 소설,554.0,7503,13500,260.0,87.0,9.1,40.0,30.0,0.8,6.7,29.0,영미소설,하위권,단행본, 영미문학 , 소설,"어떻게 지내요 :시그리드 누네즈 장편소설,9791191247114","[""성장"", ""관계"", ""우정"", ""치유""]"
2508,2508,(앤서니 브라운의) 마술 연필,글·그림: 앤서니 브라운 ;옮김: 서애경,웅진씽크빅,2010,9788901113241,A74800,843.0,문학 > 영미문학 > 소설,1093.0,9749,12600,26.0,47.0,9.5,30.0,30.0,0.8,8.8,60.3,그림책,하위권,시리즈, 영미문학 , 소설,"(앤서니 브라운의) 마술 연필,9788901113241","[""상상"", ""마법"", ""꿈"", ""용기"", ""동물""]"
2509,2508,고독한 밤에 호루라기를 불어라 :이응준 산문집,지은이: 이응준,민음사,2023,9788937426162,A03810,814.62,문학 > 한국문학 > 수필,553.0,2140,16200,352.0,2.0,7.3,30.0,30.0,0.9,6.5,52.1,한국에세이,하위권,단행본, 한국문학 , 수필,"고독한 밤에 호루라기를 불어라 :이응준 산문집,9788937426162","[""고독"", ""밤"", ""호루라기""]"
2510,2508,까만 연필의 정체,길상효 글 ;심보영 그림,비룡소,2022,9788949162393,A74800,813.7,문학 > 한국문학 > 소설,553.0,1895,11700,84.0,20.0,10.0,40.0,40.0,0.9,1.4,21.3,동화/명작/고전,하위권,시리즈, 한국문학 , 소설,"까만 연필의 정체,9788949162393","[""추리"", ""미스터리"", ""범죄"", ""연필"", ""진실""]"
2511,2508,보기왕이 온다 :사와무라 이치 장편소설,지은이: 사와무라 이치 ;옮긴이: 이선희,북이십일 아르테,2018,9788950977795,A03830,833.6,문학 > 일본문학 > 소설,553.0,2260,17820,384.0,119.0,8.4,30.0,20.0,0.6,21.8,41.6,호러.공포소설,하위권,단행본, 일본문학 , 소설,"보기왕이 온다 :사와무라 이치 장편소설,9788950977795","[""성장"", ""가족"", ""기억"", ""추억"", ""사랑""]"
2513,2508,핫 도그,더그 살라티 글·그림 ;신형건 옮김,푸른책들,2023,9788961709262,A77840,843.0,문학 > 영미문학 > 소설,553.0,1603,15120,48.0,30.0,10.0,40.0,40.0,0.9,3.5,30.1,그림책,하위권,단행본, 영미문학 , 소설,"핫 도그,9788961709262","[""요리"", ""간식"", ""맛집"", ""집밥""]"
